_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
glass sth in/ over	phrv\nမွန္ျဖင့္မိုးသည္၊ကာသည္။
glass-blower	n\nဖန္ရည္ကိုျပြန္ျဖင့္မႈတ္ကာဖန္ပုလင္း၊ဖန္ခြက္စသည္ပံုေဖာ္ျပဳလုပ္သူ။ဖန္မႈတ္သမား။
glasses	n\nမ်က္မွန္
glasses	n[pl]\nဖန္ခြက္မ်ား
glassful	n\nတစ္ဖန္ခြက္စာ။ခံစားမူကင္းေသာ။
glasshouse	n\nသစ္ပင္မ်ားစိုက္ရန္အတြက္ဖန္လံုအိမ္။မွန္လံုအိမ္။ စစ္အက်ဉ္းေထာင္။
glassware	n\nဖန္ထည္။မွန္ထည္။
glassy	adj\nဖန္ေရာင္ထေနသာ။ အသက္မပါေသာ။
glaucoma	n\nေရတိမ္။
glaze	v\nမွန္တပ္သည္။ စဉ္႔သုတ္သည္။သၾကားရည္စသည္ျဖင့္မုန္႔စသည္ကိုအေရာင္တင္သည္။  
glaze	n\nစဉ္႔။ ခေလာက္ထားေသာၾကက္ဥရည္၊သၾကားရည္စသည္။
glaze over	phrv\nမ်က္လံုးေၾကာင္ေတာင္ေတာင္ျဖစ္သည္သို႔ရေဝသည္။
glazed	adj\nအသက္မပါေသာအၾကည့္။
glazier	n\nမွန္တပ္သမား။
glaziers	n[pl]\nမွန္တပ္သမားမ်ား
gleam	n\nအလင္းေရာင္မိွန္မိွန္။ေဖ်ာ႔ေတာ႔ေသာအလင္းေရာင္။ ဝင္းလက္ျခင္း။
gleam	v\nဝင္းလက္သည္။ဖိတ္ဖိတ္ေတာက္သည္။  ေမွ်ာ္လင့္ခ်က္၊ေမွ်ာ္ေတြးခ်က္စသည္ျဖင့္မ်က္စိမ်က္ႏွာဝင္းလက္သြားသည္။
glean	v\nေကာက္သင္းေကာက္သည္။
gleanings	n,pl\nသတင္းမ်ား။
glebe	n\nေျမျပင္။ကြင္းျပင္။
glee	n\nအားရဝမ္းသာျဖစ္ျခင္း။အူျမဴးျခင္း။
gleeful	adj\nေပ်ာ္ရႊင္ေသာ။
gleefully	adv\nအားရဝမ္းသာ။
glen	n\nေျမာင္။
glib	adj\nရႊန္းရႊန္းေဝေအာင္ေျပာတတ္ေသာ။အဆြယ္ေကာင္းေသာ။စကားတတ္ေသာ။အာသြက္လွ်ာသြက္။ 
glibly	adv\nရႊန္းရႊန္းေဝေအာင္။
glide	v\nစက္မဲ့ေလယာဉ္၊စက္ခြ်တ္ယြင္းေသာေလယာဉ္စသည္ေလွ်ာဆင္းသည္။
glide	n\nေလွ်ာခနဲသြားျခင္း။ ေရြ႔သံ။
glider	n\nစက္မဲ့ေလယာဉ္။
gliders	n[pl]\nစက္မဲ့ေလယာဉ္မ်ား
gliding	n\nစက္မဲ့ေလယာဉ္အေပ်ာ္ပ်ံသန္းျခင္း။
glimmer	v\nခပ္မိွန္မိွန္လင္းသည္။
glimmer	n\nမႈန္ဝါးဝါးအလင္းေရာင္။ ေရးေရးမွ်ျဖစ္ေသာအရာ။
glimmering	n\nေရးေရးမွ်။
glimpse	n\nရိပ္ခနဲျမင္ျခင္း။ဖ်တ္ခနဲၾကည့္ျခင္း။
glimpse	v\nဖ်တ္ခနဲၾကည့္သည္။ရိပ္ခနဲျမင္သည္။
glint	v\nတဖ်တ္ဖ်တ္လက္သည္။ မ်က္လံုးဝင္းလက္သည္။
glint	n\nတလက္လက္ေတာက္ပျခင္း။ မ်က္လံုးဝင္းလက္ျခင္း၊ေတာက္ပျခင္း။
glisten	v\nရႊန္းစိုသည္။စိုရဲႊသည္။
glister	n\nတဖိတ္ဖိတ္ေတာက္ျခင္း။
glister	vi\nတဖိတ္ဖိတ္ေတာက္သည္။
glitter	vi\nတဖိတ္ဖိတ္ေတာက္ပသည္။
glitter	n\nတဖိတ္ဖိတ္ေတာက္သည့္အလင္းေရာင္။
glittering	adj\nေတာက္ပေသာ။
gloat	vi\nမ်က္စိစိုက္ျပီးၾကည့္သည္။
global	adj\nကမာၻအႏံွ႕
globalization	n\nကမာၻအႏံွ႕ျဖစ္စဉ္
globe	n\nလံုးဝိုင္းသည့္အရာ။ကမာၻလံုး။
globes	n[pl]\nကမာၻလံုး
globular	adj\nလံုးဝိုင္းေသာပံုရိွေသာ။
globule	n\nေသးငယ္သည့္အရည္စက္။
glockenspiel	n\nပတ္တလား(ျမန္မာတူရိယာ)။
gloom	n\nမည္းေမွာင္ျခင္း။ဝမ္းနည္းအားငယ္ျခင္း။
gloomily	adv\nမည္းေမွာင္စြာ။
gloomy	adj\nမည္းေမွာင္ေသာ။
glories	n[pl]\nထင္ေပၚေက်ာ္ၾကားမႈမ်ား
glorify	v\nဂုဏ္သိကၡာၾကီးမားေစသည္။ အၾကီးအက်ယ္ ခ်ီးက်ဴးသည္။
glorious	adj\nခမ္းနားၾကီးက်ယ္ေသာ။ဂုဏ္က်က္သေရရိွေသာ။
gloriously	adv\nခမ္းနားၾကီးက်ယ္စြာ။
glory	n\nဂုဏ္။က်က္သေရ။
gloss	n\nမွတ္ခ်က္။ရွင္းလင္းခ်က္။
gloss	vt\nမွတ္ခ်က္၊ရွင္းလင္းခ်က္ေရးသည္။
glossaries	n[pl]\nခက္ဆစ္မ်ား
glossary	n\nစားလံုးမ်ားကိုျပဳစုရွင္းလင္းထားျခင္း။ခက္ဆစ္ အဓိပၸါယ္။ အဓိပၸါယ္ ဖြင့္ဆိုခ်က္။
glossy	adj\nေတာက္ေျပာင္ေခ်ာမြတ္ေသာ။
glove	n\nလက္အိတ္။
gloves	n[pl]\nလက္အိတ္မ်ား
glow	vi\nမီးေရာင္ထြက္သည္။
glow-worm	n\nပိုးစုန္းၾကဴး
glower	vi\nမိုက္ၾကည့္ၾကည့္သည္။
gloweringly	adv\nမိုက္ၾကည့္ၾကည့္စြာ။
glowing	adj\nစိတ္ဝင္စားမူကိုျပေသာ။
glowingly	adv\nစိတ္ဝင္စားစြာ။
glue	n\nကြ်ေကာ္။ေကာ္။
glue	vt\nေကာ္ျဖင့္ကပ္သည္။
glue	v\nေကာ္ကပ္
glued	v[pt]\nေကာ္ကပ္ခဲ့
glued	v[pp]\nေကာ္ကပ္ခဲ့ျပီး
glues	n[pl]\nေကာ္မ်ား
glues	v[sg]\nေကာ္ကပ္
gluey	adj\nေကာ္ကဲ့သို႔ကပ္ေစးေသာ။
gluing	v[ing]\nေကာ္ကပ္ေန
glum	adj\nမႈန္သုန္ေနေသာ။
glut	vt\nမ်ိဳသိပ္သည္။
glutton	n\nအစားၾကီးသူ။
glycerine	n\nအလွဆီ
GM	abbr\nGeneral Manager အေထြေထြမန္ေနဂ်ာ။
gnarled	adj\nအတြန္႔၊အလိပ္၊အထံုး၊အဖုမ်ားေသာ။
gnash	v\nသြားၾကိတ္သည္။
gnat	n\nမွက္၊ေတာျခင္။
gnats	n[pl]\nမွက္မ်ား
gnaw	vt\nတျဖည္းျဖည္းတစ္စစီကိုက္သည္။
gnu	n\nအာဖရိကေျပာင္း။
go	vi\nသြားသည္။
go	v\nသြား
go astray	idm\nေပ်ာက္ဆံုးသည္။
go bad	idm\nစားရန္ မသင့္ျဖစ္သည္။
go bang	idm\nဝုန္းခနဲျမည္ျပီး ပိတ္သည္။ ေဖာင္းခနဲေပါက္ကဲြသည္။
go begging	idm\nဘယ္သူမွမလိုခ်င္၊ မသံုးခ်င္။
go easy on sb	idm\nသိပ္ျပီး မတင္းက်ပ္ပါနဲ့။ အျပစ္ခ်ည္းမျမင္ပါနဲ့။
go easy on sth	idm\nသိပ္လုပ္မပစ္နဲ့။ အကုန္ လုပ္မပစ္နဲ့။
go etc to extremes	idm\nအစြန္းေရာက္သည္၊ ေရာက္ေစ သည္။
go hot and cold	idm\nထိတ္ခနဲျဖစ္သည္။ေခါင္းနားပန္းၾကီးသြားသည္။
go in one ear and out the other	idm\nတစ္ဖက္နားက ဝင္၍ တစ္ဖက္နားကထြက္သည္။
go it alone	idm\nတစ္ကိုယ္ေတာ္စြန္႔စားသည္။
go native	idm\nေဒသခံတို႔၏ လူေနမႈပံုစံ အတိုင္း ေျပာင္းလဲက်င့္သံုးသည္။
go off at half cock	idm\nတစ္ပိုင္းေၾကာင္ႏွင့္ ပဲြ ထုတ္သလို။ (ေပၚေပၚ ထင္ထင္၊ အျပံဳးမပ်က္) ပမာမခန္႔လုပ္သည္၊ မထီမဲ့ျမင္လုပ္သည္။
go off with a bang	idm\nအုန္းအုန္းကြ်က္ကြ်က္ ေအာင္ျမင္ျပီးစီးသည္။
go on one's knees	n\nဒူးေထာက္သည္။
go over with a bang	idm\nအုန္းအုန္းကြ်က္ကြ်က္ ေအာင္ျမင္ျပီးစီးသည္။
go round in circles	idm\nအလုပ္မျဖစ္။ အလုပ္မတြင္။ အေသး အဖဲြကိစၥမ်ားျဖင့္ အလုပ္ရႈပ္ေနသည္။
go to any, some, great, etc lengths	idm\n(ဘာမဆို၊ မျဖစ္မေန၊ မရအရ၊ ၾကိဳးစားပမ္းစား စသည္) လုပ္သည္။
go to bed	phrv\nအိမ္ရာဝင္သည္။ ကာမစပ္ယွက္သည္။
go to law (against sb)	idm\nတရားစဲြဆိုသည္။
go to the devil	idm\nသြားစမ္းပါ။
go-between	n\nေအာင္သြယ္။
go-getter	n\nတြန္းတြန္းထိုးထိုးလုပ္တတ္သူ။
go-kart	n\nလံုးတီးျပိဳင္ကားငယ္။
go-slow	n\nစက္ရံုအလုပ္သမားစသည္ဆႏၵျပသည့္သေဘာျဖင့္အလုပ္ကိုအခ်ိန္ဆဲြလုပ္ျခင္း။
go/run to earth/ground	idm\nတိမ္းေရွာင္သည္။ ပုန္းခိုသည္။
go/sell like hot cakes	idm\nလက္မလည္ေအာင္အေရာင္းသြက္သည္။
goad	n\nႏွင္တံ။
goad	vt\nတိုက္တြန္းသည္။
goal	n\n(ေဘာလံုး) ဂိုး။ ပန္းတိုင္။
goalkeeper	n\nဂိုးသမား။
goals	n[pl]\nဂိုးတိုင္မ်ား
goat	n\nဆိတ္
goat-herd	n\nဆိတ္ေက်ာင္းသား။
goatee	n\nမုတ္ဆိတ္ေမြး။
goats	n[pl]\nဆိတ္မ်ား
goatskin	n\nဆိတ္သားေရ။
gob	n\nအတံုးအခဲ။ပါးစပ္။
gobble	vt,vi\nေလာလတၾကီးစားသည္။
goblin	n\nမွင္စာ။
god	n\nဘုရားသခင္။
goddness	n\nနတ္သမီး။
Godfather	n\nေလးစားအပ္ေသာ ပုဂၢိဳလ္
godless	adj\nယုတ္မာေသာ။
godlessness	n\nယုတ္မာမူ။
gods	n[pl]\nနတ္ဘုရားမ်ား
godsend	n\nမေမွ်ာ္လင့္သည့္ ကံေကာင္းမူ။
goes	v[sg]\nသြား
goggle	v\nေငးစိုက္ၾကည့္သည္။
goggles	n\nေလကာ၊ေရကာမ်က္မွန္။
going	n\nခဲြခြာသြားျခင္း။ထြက္ခြာသြားျခင္း။ ေျမၾကီး၊လမ္းစသည္၏အေျခအေန။ ခရီးတြင္မႈ။
going	v[ing]\nသြားေန
going-over	n\nေစ့ေစ့စပ္စပ္စစ္ေဆးျခင္း၊ေဆးေၾကာျခင္း၊ျပင္ျခင္း။ျဗင္းလႊတ္ျခင္း။
goings-on	n\nမေတာ္တေရာ္ကိစၥ။ဗရုတ္သုတ္ခ။
goitre	n\nလည္ပင္းၾကီးေရာဂါ။
gold	n\nေရႊ။ ေငြအေျမာက္အျမား။ေရႊေငြဥစၥာ။ ေရႊေရာင္။ ေရႊတံဆိပ္။
gold card	n\nလူခ်မ္းသာမ်ားကိုသာထုတ္ေပးေသာအေၾကြးကတ္ျပား။
gold foil	n\nေရႊမ်က္ပါး။
gold medal	n\nေရႊတံဆိပ္။
gold medallist	n\nေရႊတံဆိပ္ဆုရွင္။
gold mine	n\nေရႊတြင္း။ေရႊအိုး။
gold plate	n\nေရႊသားပန္းကန္ခြက္ေယာက္စသည္။ေရႊခ်ထားေသာအရာ။
gold plated	adj\nေရႊရည္စိမ္။
gold standard	n\nေရႊျဖင့္စက္သည့္ေငြေၾကးစနစ္။
gold-digger	n\nသိုက္တူးသူအမ်ိဳးသမီး။ဗန္းပိုင္းလံုး။
gold-dust	n\nေရႊမႈန္႔။
gold-field	n\nေရႊထြက္ရာနယ္ေျမေဒသ။
gold-rush	n\nေရႊထြက္သည့္ေနရာသို႔အေျပးအလႊားအလုအယက္သြားျခင္း။
golden	adj\nေရႊသား။ ေရႊေရာင္။ ေပ်ာ္ရႊင္ဖြယ္ေကာင္းေသာ။ျမတ္ႏိုးဖြယ္ေကာင္းေသာ။ၾကည္ႏူးဖြယ္ေကာင္းေသာ။ရူေမးနီးယားအားကစားေလာကရဲ့အသည္းေၾကာ္ကေလး။
golden age	n\nေရႊေခတ္။ကူးသန္းေရာင္းဝယ္ေရး၊အႏုပညာစသည္ေအာင္ျမင္ထြန္းကားေသာေခတ္။
golden eagle	n\nေရႊလင္းယုန္။
golden handshake	n\nကုမၸဏီတစ္ခု၏အထက္တန္းအရာရိွတစ္ဦးထြက္သည့္အခါနႈတ္ဆက္သည့္သေဘာျဖင့္ခ်ီးျမွင့္ေသာေငြ။
golden jubilee	n\nအႏွစ္၅၀ေျမာက္အခမ္းအနား။ေရႊရတုသဘင္။
golden rule	n\nပဓာနက်ေသာအခ်က္။
golden syrup	n\nေရႊဝါေရာင္သကာ။
golden wedding	n\nမဂၤလာေရႊရတုသဘင္။
goldener	adj[com]\nပို၍ေရႊေရာင္ေတာက္
goldenest	adj[sup]\nေရႊေရာင္အေတာက္ဆံုး
goldfinch	n\nဥေရာပတိုက္တြင္ေတြ႔ရေလ့ရိွေသာအဝါေရာင္ငွက္ငယ္။ဥေရာပေရႊဝါ။
goldfish	n\nေရႊငါး။
golds	n[pl]\nဂိုးတိုင္မ်ား
goldsmith	n\nေရႊပန္းထိမ္။
golf	n\n၉က်င္းသို႔၁၈က်င္းျပည့္ေအာင္ရိုက္ခ်က္အနည္းဆံုးျဖင့္က်င္းဝင္ေအာင္ေဘာလံုးငယ္ကိုတုတ္ျဖင့္ရိုက္သြင္းရေသာကစားနည္း။
golf club	n\nေဂါက္တုတ္။ေဂါက္သီးရိုက္အသင္း။ေဂါက္ကလပ္။ေဂါက္ကြင္း။
golf-course (also golf-links)	n\nေဂါက္ကြင္း။
golfer	n\nေဂါက္သမား။
golfing	n\nေဂါက္ရိုက္ကစားျခင္း။
Goliath	n\nဧရာမလူ သို႔ အရာ။
golliwog	n\nဆံပင္ထိုးထိုးေထာင္ေထာင္ႏွင့္မ်က္ႏွာမည္းအဝတ္ရုပ္။
golly	interj\nအံ့ဩျခင္းျပအာေမၮိတ္စကား။ ပဥၥဂံ၊အဋႆဌဂံ၊ဗဟုဂံစသည္ေထာင့္ေလးခုမကပါေသာပံုမ်ား၌ဂံဟုအနက္ရိွေသာေနာက္ဆက္။ အထက္ပါဗဟုဂံတို႔၏နာမဝေသသနပံုစံေနာက္ဆက္။
gonad	n\nမ်ိဳးပြားအဂၤါ။
gondola	n\nဗင္းနစ္ျမိဳ႕တူးေျမာင္းမ်ားတြင္သံုးသည့္ဦးေကာ႔ပဲ့ေကာ႔ေလွ။ဂြန္ဒိုလာ။ လူစီးမီးပံုးပ်ံသို႔ေကာင္းကင္ၾကိဳးသိုင္းရထားတြင္တဲြလဲပါေသာလူစီးရန္အိမ္ငယ္။
gondolier	n\nဂြန္ဒိုလာေလွထိုးသမား။
gone	adj\nကုန္လြန္သြားေသာ။ ကိုယ္ဝန္လရိွေသာ။
gone	prep\nနာရီရိွျပီ။
gone	v[pp]\nသြားခဲ့ျပီး
goner	n\nေသရမည့္သူ။ေသလူ။
gong	n\nေမာင္း။ ဆုတံဆိပ္။
gongs	n[pl]\nေမာင္းမ်ား
gonna	v\nလိမ္႔မည္။
gonorrhoea	n\nဆီးပူေညာင္းက်။ဂႏို။ကာလသားေရာဂါ။
goo	n\nအက်ိအခြ်ဲ။အညိွ။၁
good	adj\nအသင့္အတင့္မ်ားျပားေသာ။အေတာ္။ အသင့္တင့္ၾကာေသာ၊ေဝးေသာစသည္။အေတာ္။
good	n\nအေကာင္း။ ေကာင္းက်ိဳး။အက်ိဳး။ လူေကာင္းသူေကာင္း။
good	adv\nေကာင္းေကာင္း။
good as gold	idm\nလိမၼာသည္။
good faith	n\nစိတ္ရင္းေကာင္း။
good for you, sb, them, etc; good on you, etc	idm\nေကာင္းလိုက္ေလ။
Good Friday	n\nခရစ္ေတာ္ထေျမာက္ရာတနဂၤေႏြမတိုင္မီက်ေရာက္သည့္ေသာၾကာေန့။
good humour	n\nသေဘာေကာင္းျခင္း။ေပ်ာ္တတ္ျခင္း။
good looks	n\nေခ်ာေမာေသာရုပ္ရည္။
good money	idm\nေငြအေျမာက္အျမား။ ေခြ်းနဲွစာ။
good nature	n\nစိတ္ေကာင္းသေဘာေကာင္း။
good sense	n\nစဉ္းစားဉာဏ္။ခ်င့္ခ်ိန္ႏိုင္မႈ။
good- tempered	adj\nစိတ္ထားေကာင္းေသာ။
good-for-nothing n,	adj\nအသံုးမက်ေသာ။ပ်င္းရေသာ။
good-hearted	adj\nစိတ္ထားေကာင္းမြန္ေသာ။ၾကင္နာတတ္ေသာ။
good-humoured	adj\nသေဘာေကာင္းေသာ။ေဖာ္ေရြေသာ။ရႊင္ေသာ။
good-looking	adj\nေခ်ာေသာ။
good-natured	adj\nစိတ္ထားေကာင္းေသာ။ရင္းႏီွးေဖာ္ေရြေသာ။
good-naturedly	adv\nခင္ခင္မင္မင္။ရင္းရင္းႏီွးႏီွး။ေဖာ္ေဖာ္ေရြေရြ။
good-neighbourliness	n\nအိမ္နားနီးခ်င္းေကာင္းပီသမႈ။
goodbye	interj\nနႈတ္ဆက္စကား။ ဥ တကၠသိုလ္ေက်ာင္းသားဘဝကိုေက်ာခိုင္းရတဲ့အခါမွာစိတ္ထိခိုက္မိတယ္။
goodish	adj\nခပ္သင့္သင့္။ခပ္ေကာင္းေကာင္း။ အေတာ္အတန္။
goodly	adj\nေတာ္ေတာ္မ်ားမ်ား။ ရႈခ်င္စဖြယ္ေကာင္းေသာ။
goodness	n\nေကာင္းျခင္း။ၾကင္နာမႈ။ အာဟာရဓာတ္။ဩဇာ။ အစားသံုးသည့္အာေမၮိတ္။
goods	n\nကုန္ပစၥည္း။ေရာင္းကုန္။ကုန္။ ပစၥည္း။ ကုန္။ကုန္တင္။
goods and chattels	n\nကိုယ္ပိုင္ပစၥည္း။ဇဂၤမဥစၥာ။
goodwill	n\nစိတ္ထားေကာင္း။ခ်စ္ၾကည္မႈ။ေစတနာ။ နာမည္ေကာင္း။
goody	n\nစားခ်င္စဖြယ္မုန္႔ပဲသေရစာ။ လိုခ်င္ဖြယ္ရာ။ ဇာတ္လိုက္။မင္းသား။လူေကာင္း။
goody	interj\nအထူးသျဖင့္ကေလးသံုးႏွစ္သက္အားရရႊင္ျမဴးမႈျပအာေမၮိတ္စကား။
goody-goody	n\nဘုရားျဖစ္မည့္အုတ္နီခဲ။
gooey	adj\nေစးကပ္ေသာ။ သဲြ႔နဲြ႔ေသာ။သာေခြယိုင္ျဖစ္ေသာ။
goof	n\nငတံုး။ငအ။ မိုက္မွားမႈ။
goof	v\nလြတ္သြားသည္။အိုးနင္းခြက္နင္းျဖစ္သည္။
goofy	adj\nေၾကာင္ေတာင္ေတာင္။ေပါက္ေတာက္ေတာက္။
google	n\nwww.google.com ျဖစ္ပါသည္။ အင္တာနက္တြင္ရွာေဖြရန္အတြက္သံုးပါသည္။
googly	n\nပစ္ေပးေသာေဘာလံုးသည္ေျမကိုေထာက္ျပီးေနာက္ေဝ့ဝိုက္ထြက္ျခင္း။
goon	n\nလူအသို႔အရူး။ ေၾကးစားလူမိုက္။
goose	n\nဘဲငန္း။ငန္း။ဘဲငန္းအမ။ငန္းမ။ဘဲငန္းသား။ မိုက္မေသာသူ။
goose-flesh	n\nၾကက္သီးေမြးညင္း။ၾကက္သီး။
goose-step	n\nဒူးဆန္႔လ်က္စစ္ေရးျပခ်ီတက္နည္း။ငန္းေျခလွမ္းေလွ်ာက္။
gooseberry	n\nဆူးခ်ံဳတြင္သီး၍သေဘၤာဆီးျဖဴႏွင့္ဆင္ေသာစိမ္းဖန္႔ဖန္႔ေရာင္ရိွျပီးအရသာခ်ဉ္သည့္အသီး။ကုလားဆီးျဖဴ။ယို၊အဆာသြတ္မုန္႔စသည္ျပဳလုပ္ေလ့ရိွသည္။ သာသနာဖ်က္။
gopher	n\nေျမာက္အေမရိကတြင္ေတြ႔ရသည့္ၾကြက္ႏွင့္တူေသာတြင္းေအာင္းတိရ စာၦန္။
Gordian knot	n\nသပြတ္အူလိုက္ေန၍ေျဖရွင္းမရေသာျပႆနာ။
gore	n\nေသြးထြက္သံယို။
gore	v\nဦးခ်ိဳ၊အစြယ္စသည္ျဖင့္ထိုးသည္၊ေဝွ႕သည္၊ပက္သည္။
gorge	n\nေခ်ာက္နက္။လွ်ိဳေစာက္။
gorge	v\nတဝတျပဲစားသည္။
gorgeous	adj\nထူးထူးကဲကေကာင္းမြန္ေသာ။ အလြန္လွပေသာ။ ရႊန္းစိုေသာ။ခမ္းနားထည္ဝါေသာ။
gorgeously	adv\nသားသားနားနား။ခမ္းခမ္းနားနား။
gorgon	n\nဂရိဒ႑ာရေခါင္းတြင္ေျမြအရွင္မ်ားဆံပင္ကဲ့သို႔ေပါက္ေန၍ၾကည့္မိသူကိုေက်ာက္သားေက်ာက္စိုင္ျဖစ္သြားေစႏိုင္ေသာတန္ခိုးရွင္နတ္သမီးညီအစ္မသံုးေဖာ္အနက္မွတစ္ဦး။ စုန္းမၾကီး။
Gorgonzola	n\nအီတာလ်ံဒိန္ခဲ။
gorilla	n\nေဂၚရီလာေမ်ာက္ဝံလူဝံ။
gorillas	n[pl]\nေမ်ာက္ဝံမ်ား
gormless	adj\nမိုက္မေသာ။ထံုအေသာ။
gorse	n\nပန္းအဝါမ်ားပြင့္၍ပါးလႊာေသာရြက္ခြ်န္းမ်ားရိွသည့္ခ်ံဳပင္။
gory	adj\nေသြးအလိမ္းလိမ္းႏွင့္။ ေသြးထြက္သံယိုမ်ားေသာ။ေသြးေခ်ာင္းစီးေသာ။အနိဋႆဌာရံု။ ဥ သူတို႔လင္မယားကဲြၾကတာၾကားျပီးျပီလား။ေက်ာ္မေကာင္းၾကားမေကာင္းေတြေတာ႔မေျပာပါႏွင့္၊သည္းခံပါ။
gosh	interj\nအံ့ဩသည့္အခါအစားသံုးသည့္အာေမၮိတ္။
gosling	n\nငန္းေပါက္။ငန္းေပါက္စ။
goslings	n[pl]\nငန္းေပါက္မ်ား
gospel	n\nသမၼာက်မ္းစာတြင္ေဖာ္ျပခ်က္ေလးခုထဲမွတစ္ခုျဖစ္သည္။ခရစ္ေတာ္၏သက္ေတာ္စဉ္ႏွင့္တရားေတာ္။ခရစ္ဝင္က်မ္း။က်မ္းစာေလးအုပ္အနက္မွတစ္အုပ္။ ဥပေဒသမ်ား။နိယာမမ်ား။ ဘုရားေဟာ။အမွန္တရား။ ဓမၼသီခ်င္းတစ္မ်ိဳး။
gossamer	n\nအႏုစားပင့္ကူမွ်င္။ ။ႏူးညံ့ပါးလႊာေသာအရာ။
gossip	n\nအတင္းအဖ်င္းေျပာျခင္း။အတင္းစကား။
got	v[pt]\nရခဲ့
gotten	v[pp]\nရခဲ့ျပီး
gourd	n\nဘူးသီး
gourds	n[pl]\nဘူးသီးမ်ား
gout	n\nဒူလာ
govern	vt,vi\nအုပ္ခ်ဳပ္သည္။
govern	v\nအုပ္ခ်ဳပ္
governed	v[pt]\nအုပ္ခ်ဳပ္ခဲ့
governed	v[pp]\nအုပ္ခ်ဳပ္ခဲ့ျပီး
governess	n\nကေလးထိန္းဆရာမ။
governing	v[ing]\nအုပ္ခ်ဳပ္ေန
government	n\nအစိုးရ။
governmental	adj\nအစိုးရႏွင့္ဆိုင္ေသာ။
governments	n[pl]\nအစိုးရမ်ား
governor	n\nဘုရင္ခံ။
governor-general	n\nဘုရင္ခံခ်ဳပ္။
governors	n[pl]\nဘုရင္ခံမ်ား
governs	v[sg]\nအုပ္ခ်ဳပ္
gown	n\nဘဲြ႔ဝတ္ရံု
gowns	n[pl]\nဘဲြ႔ဝတ္ရံုမ်ား
GPO	abbr\nGeneral Post Office ဗဟိုစာတိုက္ၾကီး။
grab	vt,vi\nလုယူသည္။
grab	n\nလုယူျခင္း။
grab	v\nလုယူ
grabber	n\nလုယူသူ။
grace	n\nက်က္သေရရိွျခင္း။
grace	vt,vi\nတင့္တယ္ေစသည္။
graceful	adj\nတင့္တယ္ေသာ။
graceless	adj\nမတင့္တယ္ေသာ။
gracelessly	adv\nမတင့္တယ္စြာ။
gracious	adj\nခ်စ္ခင္ႏွစ္သက္ဖြယ္ျဖစ္ေသာ။
graciously	adv\nခ်စ္ခင္ႏွစ္သက္ဖြယ္ျဖစ္စြာ။
graciousness	n\nခ်စ္ခင္ႏွစ္သက္ဖြယ္။
grackle	n\nသာလိကာ
grackles	n[pl]\nသာလိကာမ်ား
grade	n\nအဆင့္အတန္း။အဆင့္။
grade	vt\nအဆင့္အတန္းခဲြသည္။
grade	v\nအုပ္စုခဲြ
graded	v[pt]\nအုပ္စုခဲြခဲ့
graded	v[pp]\nအုပ္စုခဲြခဲ့ျပီး
grades	v[sg]\nအုပ္စုခဲြ
grades	n[pl]\nအဆင့္အတန္းမ်ား
gradient	n\nအဆင့္ဆင့္တက္ျခင္း။
grading	v[ing]\nအုပ္စုခြေန
gradual	adj\nတျဖည္းျဖည္းျဖစ္ေသာ။
gradually	adv\nျဖည္းျဖည္းခ်င္း။
graduate	n\nတကၠသိုလ္မွဘဲြ႔ရသူ။
graduate	vt,vi\nအမွတ္အသားမ်ားျဖင့္မွတ္သားသည္။
graduate	v\nဘဲြ႔ရ
graduated	v[pt]\nဘဲြ႔ရခဲ့
graduated	v[pp]\nဘဲြ႔ရခဲ့ျပီး
graduates	n[pl]\nဘဲြ႔မ်ား
graduates	v[sg]\nဘဲြ႔ရ
graduating	v[ing]\nဘဲြ႔ရေန
graduation	n\nဘဲြ႔ႏွင္းသဘင္
graduations	n[pl]\nဘဲြ႔ႏွင္းသဘင္မ်ား
graft	n\nသစ္ပင္ကိုင္းကူးဆက္ျခင္း။
graft	vt,vi\nသစ္ပင္ကိုင္းကူးဆက္သည္။
grain	n\nစပါးေစ့။ေျပာင္းေစ့။
grains	n[pl]\nအေစ့အဆန္မ်ား
gram	n\nကုလားပဲ
grammar	n\nသဒၵါ။
grammarian	n\nသဒၵါဆရာ။
grammars	n[pl]\nသဒၵါမ်ား
grammartical	adj\nသဒၵါႏွင့္ဆိုင္ေသာ။
grammartically	adv\nသဒၵါႏွင့္ဆိုင္စြာ။
grammer	n\nသဒၵါစာအုပ္
gramophone	n\nဓာတ္စက္။
grams	n[pl]\nကုလားပဲမ်ား
granaries	n[pl]\nသဒၵါစာအုပ္မ်ား
granary	n\nက်ီ။
grand	adj\nခမ္းနားၾကီးက်ယ္ေသာ။
grand	pref\ngranddaughter (ေျမးမ)။grandson(ေျမး)။
grandchild	n\nေျမး
grandchildern	n[pl]\nေျမးမ်ား
granddaughter	n\nေျမးမ
grander	adj[com]\nပို၍ၾကီးက်ယ္ခမ္းနား
grander	adj[sup]\nၾကီးက်ယ္ခမ္းနားဆံုး
grandeur	n\nခမ္းနားၾကီးက်ယ္ျခင္း။
grandfather	n\nအဘိုး။
grandfathers	n[pl]\nအဘိုးမ်ား
grandma	n\nအဖြား
grandmother	n\nအဘြား။
grandmothers	n[pl]\nအဘြားမ်ား
grandpa	n\nအဖိုး
grandparent	n\nဘိုးဘြား။
